affpol	treat	dem	dem.se	dem.lb	dem.ub	rep	rep.se	rep.lb	rep.ub
0	0	1.957403	0.0695251	1.821018	2.093789	1.935594	0.1183866	1.703175	2.168013
0.05	0	1.912254	0.0641071	1.786497	2.038012	1.996008	0.1082575	1.783475	2.208541
0.1	0	1.867105	0.0587488	1.751859	1.982351	2.056422	0.0982535	1.863529	2.249315
0.15	0	1.821955	0.0534683	1.717068	1.926843	2.116836	0.088417	1.943254	2.290418
0.2	0	1.776806	0.048291	1.682075	1.871537	2.177249	0.0788108	2.022527	2.331972
0.25	0	1.731657	0.0432541	1.646806	1.816507	2.237663	0.0695303	2.10116	2.374167
0.3	0	1.686507	0.0384127	1.611154	1.761861	2.298077	0.0607253	2.17886	2.417294
0.35	0	1.641358	0.033851	1.574953	1.707763	2.358491	0.0526347	2.255158	2.461824
0.4	0	1.596209	0.029698	1.537951	1.654467	2.418905	0.0456401	2.329303	2.508506
0.45	0	1.551059	0.0261493	1.499763	1.602356	2.479319	0.040316	2.400169	2.558468
0.5	0	1.50591	0.0234804	1.459849	1.551971	2.539732	0.0373832	2.466341	2.613124
0.55	0	1.460761	0.0220136	1.417577	1.503944	2.600146	0.0374084	2.526705	2.673587
0.6	0	1.415611	0.0219909	1.372472	1.45875	2.66056	0.040386	2.581274	2.739847
0.65	0	1.370462	0.0234165	1.324526	1.416397	2.720974	0.045743	2.63117	2.810777
0.7	0	1.325312	0.0260537	1.274204	1.376421	2.781388	0.0527597	2.677809	2.884966
0.75	0	1.280163	0.0295801	1.222136	1.33819	2.841801	0.0608646	2.722311	2.961292
0.8	0	1.235014	0.033718	1.16887	1.301158	2.902215	0.0696791	2.76542	3.039011
0.85	0	1.189864	0.0382695	1.114792	1.264937	2.962629	0.0789658	2.807602	3.117656
0.9	0	1.144715	0.0431037	1.060159	1.229271	3.023043	0.0885765	2.849148	3.196938
0.95	0	1.099566	0.0481357	1.005139	1.193992	3.083457	0.0984161	2.890244	3.276669
1	0	1.054416	0.0533093	0.9498407	1.158992	3.143871	0.1084225	2.931013	3.356728
0	1	2.420294	0.0712723	2.280481	2.560108	1.309316	0.117824	1.078002	1.54063
0.05	1	2.357172	0.0656882	2.228312	2.486031	1.399314	0.1078003	1.187678	1.610949
0.1	1	2.294049	0.0601616	2.176031	2.412066	1.489311	0.0978956	1.297121	1.681502
0.15	1	2.230926	0.0547099	2.123603	2.338249	1.579309	0.0881499	1.406252	1.752367
0.2	1	2.167803	0.0493579	2.070979	2.264627	1.669307	0.0786226	1.514954	1.82366
0.25	1	2.10468	0.0441419	2.018088	2.191272	1.759305	0.0694034	1.623051	1.895559
0.3	1	2.041557	0.0391163	1.964824	2.118291	1.849302	0.0606333	1.730266	1.968339
0.35	1	1.978435	0.0343649	1.911022	2.045847	1.9393	0.0525375	1.836158	2.042443
0.4	1	1.915312	0.030018	1.856426	1.974197	2.029298	0.0454775	1.940016	2.11858
0.45	1	1.852189	0.0262772	1.800642	1.903736	2.119296	0.0400058	2.040756	2.197836
0.5	1	1.789066	0.0234346	1.743095	1.835037	2.209293	0.0368367	2.136975	2.281612
0.55	1	1.725943	0.0218437	1.683093	1.768794	2.299291	0.0365741	2.227488	2.371094
0.6	1	1.662821	0.0217804	1.620094	1.705547	2.389289	0.0392761	2.312181	2.466396
0.65	1	1.599698	0.0232574	1.554074	1.645321	2.479287	0.0444048	2.39211	2.566463
0.7	1	1.536575	0.0260135	1.485545	1.587605	2.569284	0.0512367	2.468696	2.669873
0.75	1	1.473452	0.0296946	1.415201	1.531703	2.659282	0.0591848	2.543089	2.775475
0.8	1	1.410329	0.0340018	1.343629	1.47703	2.74928	0.067858	2.61606	2.8825
0.85	1	1.347206	0.0387265	1.271237	1.423176	2.839278	0.0770118	2.688087	2.990469
0.9	1	1.284084	0.0437338	1.198292	1.369875	2.929275	0.0864936	2.759469	3.099081
0.95	1	1.220961	0.0489369	1.124962	1.316959	3.019273	0.0962066	2.830398	3.208148
1	1	1.157838	0.0542796	1.051359	1.264317	3.109271	0.1060873	2.900998	3.317543
