"","Year3","id","Electoral_District_Number","clea","marg","lcomp","lnonsocsup","votensoc","cathmarg","difcro2","rightmar2","diffvotensoc"
"1","1893","1",1,"Conservative",0.153045956537228,5,0.2,0.362949768436053,-0.209903811898824,0,0,0.225082452507561
"2","1898","1",1,"Conservative",0.133389643298031,4,0.2,0.361055162107725,-0.227665518809694,0,0,0.184589729014553
"3","1898","1",1,"Minority",0.139056426752446,3,0.333333333333333,0.470178260286825,-0.331121833534379,0,0,0.0977022252407195
"4","1903","1",1,"Conservative",0.0231359312672599,4,0,0.289045719545873,-0.265909788278613,0,0,0.283568677775556
"5","1907","1",1,"Conservative",0.0398661987277912,4,0.2,0.310813774950647,-0.270947576222856,0,0,0.323708510954422
"6","1912","1",1,"Liberal",0.159293952027722,3,0.2,0.473766852563756,-0.314472900536033,0,0,0.11622503274866
"7","1898","100",100,"Socialist",0.0159437811697143,2,NA,NA,NA,NA,NA,NA
"8","1912","100",100,"Minority",0.0246515639896491,4,0,0.42030235619921,0.29191446860671,1,1,0.0902898545186342
"9","1907","101",101,"Minority",0.0511318367155645,4,0,0.398228429488682,0.115808220462108,1,0,0.0409372191245033
"10","1912","101",101,"Minority",0.0283773951006549,4,0,0.448799417899588,0.416686878486539,1,1,0.040592316033631
"11","1907","102",102,"Minority",0.159257898603968,4,0,0.436443791329904,0.0464731814842028,1,0,0.0963287549164201
"12","1912","102",102,"Minority",0.000516155672550866,4,0,0.354839819689618,0.144282715667045,1,0,0.127242986312913
"13","1903","103",103,"Socialist",0.212185595330071,4,0,0.220147652158984,0.285239076315564,1,1,0.0819929462355676
"14","1912","103",103,"Minority",0.138910898220846,4,0,0.372235827991068,0.0256248649427357,1,1,0.195147063244923
"15","1903","104",104,"Minority",0.185345211581292,4,0,0.259910913140312,0.221559020044543,1,1,0.245573214014167
"16","1912","104",104,"Minority",0.0505442451118726,4,0,0.300896996573272,-0.0595646039105019,0,0,0.291132701684811
"17","1903","105",105,"Minority",0.0952788170318903,5,0,0.468590771423481,0.224051309460182,0,0,0.0103539266992991
"18","1907","106",106,"Minority",0.232569504778454,4,0,0.238868375325804,0.283177671589922,0,0,0.118433282553889
"19","1890","11",11,"Liberal",0.0407056405572048,5,0.25,0.482872802009591,-0.442167161452386,1,1,0.07605182987179
"20","1893","11",11,"Conservative",0.098277129950625,3,0.25,0.48634310326715,-0.388065973316525,0,0,0.0132645860227677
"21","1898","11",11,"Conservative",0.0690105426056679,4,0.333333333333333,0.374504304091305,-0.305493761485637,0,0,0.210602559584083
"22","1903","11",11,"Conservative",0.155643958229736,4,0.25,0.432521133764296,-0.27687717553456,0,0,0.184470300388887
"23","1912","11",11,"Liberal",0.0954244673983215,4,0,0.411475145255003,-0.316050677856682,0,0,0.234572522783406
"24","1893","111",111,"Liberal",0.0214700533818267,4,0,0.449169941925265,-0.424649498445474,0,0,0.128617955837585
"25","1898","111",111,"Liberal",0.0279736581385862,4,0,0.382539775045166,-0.291741943003672,1,1,0.248516198614289
"26","1903","111",111,"Conservative",0.0906836885418865,4,0,0.392804389111627,-0.236969824857565,0,0,0.129557815612783
"27","1907","111",111,"Conservative",0.147440758293839,5,0,0.407061611374408,-0.186682464454976,0,0,0.258549628916494
"28","1912","111",111,"Socialist",0.0965832660747915,5,0,0.382656264012196,-0.229037754461483,1,1,0.124882753711109
"29","1890","112",112,"Liberal",0.12590708925138,5,0,0.476152080878248,-0.299758109532965,1,1,0.140261069268955
"30","1890","112",112,"Conservative",0.0859101621081197,3,0.333333333333333,0.48518174676855,-0.39927158466043,0,0,0.048961269714286
"31","1893","112",112,"Conservative",0.0454996896337679,3,0.4,0.474177529484792,-0.428677839851024,0,0,0.0567771591510209
"32","1898","112",112,"Liberal",0.0513407652907502,3,0,0.468032539921663,-0.416691774630913,0,0,0.418592388934341
"33","1903","112",112,"Conservative",0.015231825029292,3,0.6,0.404229202700441,-0.388997377671149,0,0,0.179080841455839
"34","1907","112",112,"Conservative",0.0595282466322347,4,0,0.380224695170651,-0.249560726265907,0,0,0.13276734375018
"35","1912","112",112,"Conservative",0.0483675325988072,3,0.5,0.369149903972506,-0.320782371373699,1,0,0.174174542294927
"36","1893","113",113,"Liberal",0.0578151532303712,3,0.2,0.431147408425649,-0.373332255195278,0,0,0.16532671619861
"37","1898","113",113,"Liberal",0.0529963654805173,4,0.2,0.380694784887161,-0.20725213422365,0,0,0.211404972414705
"38","1903","113",113,"Conservative",0.00489017155683824,4,0.25,0.30295013628347,-0.108225108225108,0,0,0.219335212200166
"39","1907","113",113,"Conservative",0.0705784874962338,4,0.25,0.354850858692377,-0.0915938535703525,0,0,0.171554341100813
"40","1912","113",113,"Conservative",0.122269483094225,3,0,0.459015211592531,-0.336745728498306,0,0,0.0615660705657222
"41","1890","114",114,"Liberal",0.0124850242764361,4,0,0.426067217352923,-0.362065704016647,0,0,0.138227721457729
"42","1893","114",114,"Liberal",0.0535637940511818,4,0,0.445489525438221,-0.373114273499053,0,0,0.135355933668653
"43","1898","114",114,"Liberal",0.125139337048988,4,0,0.463361689645057,-0.305368143150484,0,0,0.172227404804797
"44","1903","114",114,"Conservative",0.0397701149425287,4,0.25,0.34316091954023,-0.254712643678161,0,0,0.242516088288126
"45","1907","114",114,"Conservative",0.0663975121392329,4,0.5,0.366141087893502,-0.240602324185717,0,0,0.20943897183542
"46","1912","114",114,"Liberal",0.0260714671272806,3,0.166666666666667,0.358469178451905,-0.332397711324625,0,0,0.278068094734994
"47","1890","115",115,"Liberal",0.0926868470399143,3,0,0.471292079649969,-0.232252879721404,0,0,0.132127326360431
"48","1893","115",115,"Liberal",0.0103548700248086,3,0,0.495523675978859,-0.48516880595405,0,0,0.057805947467626
"49","1898","115",115,"Liberal",0.0181383296790911,4,0,0.428343631652382,-0.281343432330078,0,0,0.10747632710311
"50","1903","115",115,"Liberal",0.0275653565712253,3,0,0.460608216254668,-0.433042859683443,0,0,0.0541270701923455
"51","1907","115",115,"Conservative",0.0887564027206315,4,0,0.369888319758166,-0.0941304895457217,0,0,0.128946954784263
"52","1912","115",115,"Liberal",0.0368164143294449,4,0,0.333664267394722,-0.131629022917184,1,1,0.168276224196482
"53","1890","116",116,"Liberal",0.153690507609748,5,0,0.450426673704583,-0.278613530395003,0,0,0.215612448345192
"54","1890","116",116,"Liberal",0.17275536553359,4,0,0.451551454091352,-0.278796088557762,0,0,0.147337434797537
"55","1893","116",116,"Liberal",0.0467990185143877,5,0,0.372339950925719,-0.310238679455722,0,0,0.279654483211572
"56","1898","116",116,"Liberal",0.0791626463061627,4,0.2,0.381423836892226,-0.276502915635357,1,1,0.260485380796379
"57","1898","116",116,"Liberal",0.0536231173036354,3,0,0.371682284256488,-0.318059166952853,1,1,0.260571734669518
"58","1903","116",116,"Socialist",0.0182947157859643,4,0,0.359184864144024,-0.301716952825471,0,0,0.191758532082391
"59","1907","116",116,"Liberal",0.0238263390699922,3,0,0.355982604170539,-0.332156265100546,0,0,0.217525462017825
"60","1912","116",116,"Socialist",0.00686041300375773,3,0,0.368118040472989,-0.361257627469232,0,0,0.133194713127138
"61","1893","117",117,"Conservative",0.0228706624605678,4,0.666666666666667,0.427951780081118,-0.40508111762055,0,0,0.157323300825031
"62","1898","117",117,"Conservative",0.0404739493937213,5,0.2,0.308122473838658,-0.0938486241071923,0,0,0.312770179492273
"63","1903","117",117,"Liberal",0.020544085250269,5,0,0.298580869921615,-0.0819201803371074,0,0,0.340418359342629
"64","1907","117",117,"Liberal",0.0336626781192592,4,0,0.28439501514324,-0.0368899260215481,0,0,0.260688147973188
