"","Year3","id","Electoral_District_Number","clea","marg","lcomp","lnonsocsup","votensoc","conmarg","difcro2","rightmar2","diffvotensoc"
"1","1893","1",1,"Liberal",0.153045956537228,5,0,0.209903811898824,0.161667260420378,1,1,0.378128409044789
"2","1898","1",1,"Minority",0.133389643298031,4,0,0.227665518809694,0.151452147358846,1,1,0.317979372312584
"3","1898","1",1,"Minority",0.139056426752446,3,0.333333333333333,0.470178260286825,-0.331121833534379,0,0,0.0977022252407195
"4","1903","1",1,"Socialist",0.0231359312672599,4,0,0.265909788278613,0.0384166922368825,1,1,0.154570122435673
"5","1907","1",1,"Liberal",0.0398661987277912,4,0.2,0.270947576222856,0.0793485413467866,1,1,0.363574709682213
"6","1912","1",1,"Liberal",0.159293952027722,3,0.2,0.473766852563756,-0.314472900536033,0,0,0.11622503274866
"7","1898","100",100,"Catholic",0.0159437811697143,2,0,0.486625358923984,-0.470681577754269,0,0,0.0649762902989786
"8","1912","100",100,"Minority",0.0246515639896491,4,0,0.42030235619921,-0.395650792209561,1,1,0.0902898545186342
"9","1907","101",101,"Minority",0.0511318367155645,4,0,0.398228429488682,-0.115808220462108,1,1,0.159348150756556
"10","1912","101",101,"Catholic",0.0283773951006549,4,0.4,0.477176813000243,-0.448799417899588,0,0,0.0293734053403688
"11","1907","102",102,"Minority",0.159257898603968,4,0,0.436443791329904,-0.0464731814842028,1,1,0.0963287549164201
"12","1912","102",102,"Catholic",0.000516155672550866,4,0,0.355355975362169,-0.354839819689618,1,1,0.154823015778673
"13","1903","103",103,"Catholic",0.212185595330071,4,0,0.432333247489055,-0.220147652158984,1,0,0.260320608020554
"14","1912","103",103,"Minority",0.138910898220846,4,0,0.372235827991068,-0.233324929770223,1,1,0.195147063244923
"15","1903","104",104,"Catholic",0.185345211581292,4,0.333333333333333,0.445256124721604,-0.259910913140312,0,1,0.060228002432875
"16","1912","104",104,"Minority",0.0505442451118726,4,0,0.300896996573272,-0.250352751461399,1,1,0.291132701684811
"17","1903","105",105,"Minority",0.0952788170318903,5,0,0.468590771423481,-0.224051309460182,0,0,0.0504689275448936
"18","1907","106",106,"Catholic",0.232569504778454,4,0,0.471437880104257,-0.0506081668114683,0,0,0.167195163153064
"19","1890","11",11,"Liberal",0.0407056405572048,5,0.25,0.482872802009591,0.389072847682119,1,1,0.07605182987179
"20","1893","11",11,"Liberal",0.098277129950625,3,0,0.388065973316525,0.408131106208635,1,1,0.111541715973393
"21","1898","11",11,"Liberal",0.0690105426056679,4,0.166666666666667,0.305493761485637,0.20886932972241,1,1,0.279613102189751
"22","1903","11",11,"Socialist",0.155643958229736,4,0,0.27687717553456,0.221481849825957,0,0,0.101422679196693
"23","1912","11",11,"Liberal",0.0954244673983215,4,0,0.411475145255003,0.0638315041962557,0,0,0.234572522783406
"24","1893","111",111,"Liberal",0.0214700533818267,4,0,0.449169941925265,0.31125711268845,0,0,0.128617955837585
"25","1898","111",111,"Liberal",0.0279736581385862,4,0,0.382539775045166,0.157293548575092,1,1,0.248516198614289
"26","1903","111",111,"Liberal",0.0906836885418865,4,0,0.30212070056974,0.156203840472674,0,0,0.220241504154669
"27","1907","111",111,"Socialist",0.147440758293839,5,0,0.259620853080569,0.155355450236967,0,0,0.0655659079148303
"28","1912","111",111,"Socialist",0.0965832660747915,5,0,0.382656264012196,0.0436732131647386,1,1,0.124882753711109
"29","1890","112",112,"Liberal",0.12590708925138,5,0,0.476152080878248,0.247968740308876,1,1,0.140261069268955
"30","1890","112",112,"Liberal",0.0859101621081197,3,0,0.39927158466043,0.377919017353424,0,0,0.134871431822406
"31","1893","112",112,"Liberal",0.0454996896337679,3,0,0.428677839851024,0.38032278088144,1,1,0.102276848784789
"32","1898","112",112,"Liberal",0.0513407652907502,3,0,0.468032539921663,0.303705935522748,0,0,0.418592388934341
"33","1903","112",112,"Liberal",0.015231825029292,3,0,0.388997377671149,0.200468671539363,0,0,0.194312666485131
"34","1907","112",112,"Liberal",0.0595282466322347,4,0,0.320696448538417,0.154837335605133,0,0,0.137286744738894
"35","1912","112",112,"Socialist",0.0483675325988072,3,0,0.320782371373699,0.063277064591125,0,0,0.111898104426137
"36","1893","113",113,"Liberal",0.0578151532303712,3,0.2,0.431147408425649,0.18145063475378,0,0,0.16532671619861
"37","1898","113",113,"Liberal",0.0529963654805173,4,0.2,0.380694784887161,0.15865100160595,0,0,0.211404972414705
"38","1903","113",113,"Liberal",0.00489017155683824,4,0,0.298059964726631,0.0964405964405964,0,0,0.224225383757005
"39","1907","113",113,"Liberal",0.0705784874962338,4,0,0.284272371196143,0.162172341066586,1,0,0.242132828597047
"40","1912","113",113,"Liberal",0.122269483094225,3,0,0.336745728498306,0.257299401629299,1,1,0.183835553659948
"41","1890","114",114,"Liberal",0.0124850242764361,4,0,0.426067217352923,0.306828929945142,1,0,0.138227721457729
"42","1893","114",114,"Liberal",0.0535637940511818,4,0,0.445489525438221,0.252061320466622,0,0,0.135355933668653
"43","1898","114",114,"Liberal",0.125139337048988,4,0,0.463361689645057,0.175594015840422,0,0,0.172227404804797
"44","1903","114",114,"Socialist",0.0397701149425287,4,0,0.303390804597701,0.0424137931034483,0,0,0.103103831528712
"45","1907","114",114,"Liberal",0.0663975121392329,4,0,0.299743575754269,0.0931856620655791,0,0,0.275836483974653
"46","1912","114",114,"Liberal",0.0260714671272806,3,0.166666666666667,0.358469178451905,0.026827161826622,0,0,0.278068094734994
"47","1890","115",115,"Liberal",0.0926868470399143,3,0,0.471292079649969,-0.378605232610054,1,1,0.132127326360431
"48","1893","115",115,"Liberal",0.0103548700248086,3,0,0.495523675978859,0.468234278934311,0,0,0.057805947467626
"49","1898","115",115,"Liberal",0.0181383296790911,4,0,0.428343631652382,0.281343432330078,0,0,0.10747632710311
"50","1903","115",115,"Liberal",0.0275653565712253,3,0,0.460608216254668,0.330250755824293,0,0,0.0541270701923455
"51","1907","115",115,"Liberal",0.0887564027206315,4,0,0.281131917037535,0.182886892266353,0,0,0.217703357504895
"52","1912","115",115,"Liberal",0.0368164143294449,4,0,0.333664267394722,0.0931579382807975,1,1,0.168276224196482
"53","1890","116",116,"Liberal",0.153690507609748,5,0,0.450426673704583,0.0691915193102842,0,0,0.215612448345192
"54","1890","116",116,"Liberal",0.17275536553359,4,0,0.451551454091352,0.0690005503111374,0,0,0.147337434797537
"55","1893","116",116,"Liberal",0.0467990185143877,5,0,0.372339950925719,0.0554985500780727,0,0,0.279654483211572
"56","1898","116",116,"Liberal",0.0791626463061627,4,0.2,0.381423836892226,-0.0142215882871166,1,1,0.260485380796379
"57","1898","116",116,"Liberal",0.0536231173036354,3,0,0.371682284256488,-0.00946867487612224,1,0,0.260571734669518
"58","1903","116",116,"Socialist",0.0182947157859643,4,0,0.359184864144024,-0.0832222037006168,0,0,0.191758532082391
"59","1907","116",116,"Liberal",0.0238263390699922,3,0,0.355982604170539,0.0230457569787756,0,0,0.217525462017825
"60","1912","116",116,"Socialist",0.00686041300375773,3,0,0.368118040472989,-0.0934946736994519,0,0,0.133194713127138
"61","1893","117",117,"Liberal",0.0228706624605678,4,0,0.40508111762055,0.279405137449302,0,0,0.180193963285599
"62","1898","117",117,"Liberal",0.0404739493937213,5,0,0.267648524444937,0.0775704556779802,1,1,0.353244128885994
"63","1903","117",117,"Liberal",0.020544085250269,5,0,0.298580869921615,-0.0583533992520108,0,0,0.340418359342629
"64","1907","117",117,"Liberal",0.0336626781192592,4,0,0.28439501514324,0.00153914899955318,0,0,0.260688147973188
"65","1907","117",117,"Socialist",0.00261147112873583,4,0,0.313521617177677,-0.123319469968082,0,0,0.226522045927
"66","1912","117",117,"Catholic",0.0752315897819781,4,0.428571428571429,0.389351548610461,-0.312061382988678,0,0,0.190687884306636
"67","1898","118",118,"Liberal",0.0988526037069726,4,0.166666666666667,0.390725779075294,0.0149365197908887,0,0,0.289156550268826
"68","1903","118",118,"Liberal",0.14252607184241,3,0,0.451249793080616,-0.0727804447387298,0,0,0.208294366463544
"69","1907","118",118,"Liberal",0.158267557174661,4,0,0.457043108682453,-0.298775551507792,1,1,0.254062084393446
"70","1912","118",118,"Liberal",0.0612320863577145,4,0,0.442071468453378,-0.25214033128606,0,0,0.0866380816650119
"71","1893","119",119,"Liberal",0.135051800690676,3,0,0.449216822890972,0.0801985693142575,0,0,0.182685017599826
"72","1898","119",119,"Socialist",0.0105838982043049,4,0,0.350220002378404,-0.0594303722202402,0,0,0.219118020483045
"73","1903","119",119,"Socialist",0.192784945352946,4,0,0.453803380173665,-0.261018434820719,0,0,0.0469280100094531
"74","1907","119",119,"Liberal",0.000881510321016687,4,0.125,0.400450549719631,-0.226915448468376,1,1,0.20314669515101
"75","1912","119",119,"Socialist",0.156538452412026,3,0,0.486391571553995,-0.149158816410792,0,0,0.0603864152757325
"76","1903","120",120,"Liberal",0.166948579161028,4,0,0.305705908885882,0.273004059539919,1,1,0.176769855469077
"77","1912","120",120,"Socialist",0.183893214682981,3,0,0.291434927697442,0.244849833147942,0,0,0.0936817328931526
"78","1890","121",121,"Liberal",0.0803805400478523,5,0,0.265010823743876,0.213113820211917,1,0,0.218136467298868
"79","1893","121",121,"Catholic",0.0333687691944248,4,NA,NA,NA,NA,NA,NA
"80","1912","121",121,"Liberal",0.0725734997986307,3,0.5,0.41365283930729,0.389287152637938,1,1,0.0795554158521851
"81","1912","121",121,"Liberal",0.156,3,0,0.452,0.215,1,1,0.092
"82","1907","122",122,"Liberal",0.0909168552760815,4,0.2,0.327070077294273,0.170175513515822,0,0,0.247967008580129
"83","1912","122",122,"Liberal",0.0708611256838791,4,0.2,0.323053286367384,0.115341377501312,0,0,0.0999940395271912
"84","1912","122",122,"Liberal",0.199,3,0.25,0.268,0.202,1,1,0.276
"85","1890","123",123,"Liberal",0.0689390711546656,4,0,0.407498934810396,0.370472944184065,1,1,0.112928694153915
"86","1903","123",123,"Socialist",0.0908802285895706,4,0,0.32304151123105,0.156758472894674,0,0,0.0727012681490531
"87","1903","123",123,"Socialist",0.0170104105283834,5,0,0.267491651934787,-0.0120604989196621,0,0,0.424943466784153
"88","1907","123",123,"Liberal",0.115792372297948,4,0,0.295711138647942,0.124053421451191,0,0,0.166948819356892
"89","1912","123",123,"Socialist",0.0730442822705809,3,0,0.395997754515735,0.0491695010401875,1,0,0.0948528645548553
"90","1912","123",123,"Socialist",0.018,3,0,0.4,0.164,0,0,0.078
"91","1893","124",124,"Socialist",0.178667038482989,5,0,0.4638315672058,-0.20515895147797,1,1,0.0569033695929111
"92","1903","124",124,"Socialist",0.122116271916333,5,0,0.493836216075527,-0.260606204008234,0,0,0.0268594510718502
"93","1907","125",125,"Liberal",0.0484761709961137,4,0.428571428571429,0.395663734915116,-0.347187563919002,0,0,0.235508476912754
