"","Year3","id","Electoral_District_Number","clea","marg","lcomp","lnonsocsup","votensoc","socmarg","difcro2","rightmar2","diffvotensoc","diffturn","diffturnraw","turnrawfir","turnfir"
"1","1893","1",1,"Conservative",0.153045956537228,5,0.2,0.362949768436053,-0.0812967581047382,0,0,0.225082452507561,0.0352991820921223,738,14035,0.671306261060889
"2","1898","1",1,"Conservative",0.133389643298031,4,0.2,0.361055162107725,-0.0317718146969008,0,0,0.184589729014553,-0.0504676446849927,-1063,15391,0.730712624032664
"3","1898","1",1,"Minority",0.139056426752446,3,0.333333333333333,0.470178260286825,0.13470044229996,0,0,0.0977022252407195,0.0530813170482516,1143,14922,0.692982863511819
"4","1903","1",1,"Conservative",0.0231359312672599,4,0,0.289045719545873,0.0152807609696226,0,0,0.283568677775556,-0.0893011806536901,-1959,16295,0.742808952910608
"5","1907","1",1,"Conservative",0.0398661987277912,4,0.2,0.310813774950647,-0.0876837025663522,0,0,0.323708510954422,-0.0121855888168484,-265,18236,0.838552444015267
"6","1912","1",1,"Liberal",0.159293952027722,3,0.2,0.473766852563756,-0.106611078022633,0,0,0.11622503274866,0.000721078011627352,16,18469,0.832349362296633
"7","1898","100",100,"Catholic",0.0159437811697143,2,0,0.486625358923984,-0.431313283965543,1,0,0.0649762902989786,0.103428548077316,2531,13234,0.540803399942789
"8","1912","100",100,"Minority",0.0246515639896491,4,0,0.42030235619921,-0.29191446860671,0,0,0.0902898545186342,0.0370435331672923,1056,22027,0.772687410109798
"9","1907","101",101,"Minority",0.0511318367155645,4,0,0.398228429488682,-0.325959600693631,0,0,0.159348150756556,0.0277495278221705,764,21337,0.774989103588552
"10","1912","101",101,"Catholic",0.0283773951006549,4,0.4,0.477176813000243,-0.388309483385884,0,0,0.0293734053403688,0.0739541743102766,2056,20615,0.741520089205424
"11","1907","102",102,"Minority",0.159257898603968,4,0,0.436443791329904,-0.225863335782513,0,0,0.0963287549164201,-0.00994814564310675,-353,27220,0.767106301431631
"12","1912","102",102,"Catholic",0.000516155672550866,4,0,0.355355975362169,-0.278483190530264,1,1,0.154823015778673,-0.0373053145480113,-1406,29061,0.771073788107936
"13","1903","103",103,"Catholic",0.212185595330071,4,0,0.432333247489055,0.0500472143531634,1,0,0.260320608020554,-0.0860832587989769,-5486,46596,0.731158499270348
"14","1912","103",103,"Minority",0.138910898220846,4,0,0.372235827991068,-0.0256248649427357,0,0,0.195147063244923,-0.0765708668546448,-5920,55532,0.718265773339887
"15","1903","104",104,"Catholic",0.185345211581292,4,0.333333333333333,0.445256124721604,-0.0362138084632516,0,1,0.060228002432875,0.0269519842979559,1689,44900,0.716485550608773
"16","1912","104",104,"Minority",0.0505442451118726,4,0,0.300896996573272,0.0595646039105019,1,1,0.291132701684811,-0.354055556959786,-28015,59532,0.75236963829841
"17","1903","105",105,"Minority",0.0952788170318903,5,0,0.468590771423481,-0.368679850347408,0,0,0.0504689275448936,0.0390574143991668,1500,28065,0.73076422340841
"18","1907","106",106,"Catholic",0.232569504778454,4,0,0.471437880104257,-0.141127280625543,0,0,0.167195163153064,NA,-2673,18416,NA
"19","1890","11",11,"Liberal",0.0407056405572048,5,0.25,0.482872802009591,-0.389072847682119,1,0,0.07605182987179,0.0765503875968992,1975,17516,0.678914728682171
