"","Year3","id","Electoral_District_Number","clea","marg","lcomp","lnonsocsup","votensoc","libmarg","difcro2","rightmar2","diffvotensoc"
"1","1893","1",1,"Conservative",0.153045956537228,5,0.2,0.362949768436053,0.00862130388314927,0,0,0.0460396040678395
"2","1898","1",1,"Conservative",0.133389643298031,4,0.2,0.361055162107725,-0.0180625040608148,0,0,0.184589729014553
"3","1898","1",1,"Minority",0.139056426752446,3,0.333333333333333,0.470178260286825,-0.13470044229996,0,0,0.0977022252407195
"4","1903","1",1,"Conservative",0.0231359312672599,4,0,0.289045719545873,-0.0751764344891071,0,0,0.283568677775556
"5","1907","1",1,"Conservative",0.0398661987277912,4,0.2,0.310813774950647,0.0394823426189954,0,0,0.0470405458996117
"6","1912","1",1,"Minority",0.159293952027722,3,0.4,0.314472900536033,0.265905030050355,1,1,0.0857975890501176
"7","1898","100",100,"Catholic",0.0159437811697143,2,0,0.486625358923984,-0.470681577754269,1,0,0.0649762902989786
"8","1912","100",100,"Minority",0.0246515639896491,4,0,0.42030235619921,-0.321423707268353,1,1,0.0902898545186342
"9","1907","101",101,"Minority",0.0511318367155645,4,0,0.398228429488682,-0.347096592773117,1,0,0.159348150756556
"10","1912","101",101,"Catholic",0.0283773951006549,4,0.4,0.477176813000243,-0.440504487024012,0,0,0.0293734053403688
"11","1907","102",102,"Minority",0.159257898603968,4,0,0.436443791329904,-0.277185892725937,1,0,0.0963287549164201
"12","1912","102",102,"Catholic",0.000516155672550866,4,0,0.355355975362169,-0.143766559994494,1,0,0.154823015778673
"13","1903","103",103,"Catholic",0.212185595330071,4,0,0.432333247489055,-0.192591638767276,1,0,0.260320608020554
"14","1912","103",103,"Minority",0.138910898220846,4,0,0.372235827991068,-0.0500792335950443,1,1,0.195147063244923
"15","1903","104",104,"Catholic",0.185345211581292,4,0.333333333333333,0.445256124721604,-0.192360801781737,0,1,0.060228002432875
"16","1912","104",104,"Minority",0.0505442451118726,4,0,0.300896996573272,-0.0922025129342202,1,1,0.291132701684811
"17","1903","105",105,"Minority",0.0952788170318903,5,0,0.468590771423481,-0.372064849456619,0,0,0.0504689275448936
"18","1907","106",106,"Catholic",0.232569504778454,4,0,0.471437880104257,-0.238868375325804,0,0,0.167195163153064
"19","1890","11",11,"Catholic",0.0407056405572048,5,NA,NA,NA,NA,NA,NA
"20","1893","11",11,"Conservative",0.098277129950625,3,0.25,0.48634310326715,0.30985397625801,0,0,0.0131174695064868
"21","1898","11",11,"Conservative",0.0690105426056679,4,0.333333333333333,0.374504304091305,0.139858787116742,0,0,0.0383102998579067
"22","1903","11",11,"Conservative",0.155643958229736,4,0.25,0.432521133764296,-0.0658378915962208,0,0,0.184470300388887
"23","1912","11",11,"Conservative",0.0954244673983215,4,0.5,0.316050677856682,0.159255971594577,0,0,0.0358869078772003
"24","1893","111",111,"Conservative",0.0214700533818267,4,0.6,0.427699888543439,0.332727166070276,0,0,-0.00804940752789823
"25","1898","111",111,"Conservative",0.0279736581385862,4,0.25,0.35456611690658,0.185267206713678,0,0,0.0124964418892811
"26","1903","111",111,"Conservative",0.0906836885418865,4,0,0.392804389111627,0.0655201519307871,1,0,0.0818412801797117
"27","1907","111",111,"Conservative",0.147440758293839,5,0,0.407061611374408,-0.00791469194312794,1,1,0.258549628916494
